Date,Time,Sport
01/3/2024,7:00 PM PST - Women's Basketball,
01/5/2024,7:30 PM PST - Men's Basketball,
01/9/2024,8:00 PM PST - Men's Basketball,
01/13/2024,2:00 PM PST - Women's Basketball,
01/17/2024,7:00 PM PST - Women's Basketball,
01/24/2024,8:00 PM PST - Men's Basketball,
01/27/2024,6:00 PM PST - Men's Basketball,
01/27/2024,12:00 PM PST - Women's Tennis,
01/28/2024,2:00 PM PST - Women's Gymnastics,
01/31/2024,11:00 AM PST - Women's Basketball,
02/3/2024,1:00 PM PST - Women's Swimming and Diving,
02/3/2024,1:00 PM PST - Women's Basketball,
02/4/2024,2:00 PM PST - Women's Gymnastics,
02/6/2024,7:00 PM PST - Men's Basketball,
02/9/2024,7:00 PM PST - Women's Gymnastics,
02/9/2024,12:00 PM PST - Women's Tennis,
02/10/2024,2:00 PM PST - Women's Basketball,
02/13/2024,7:00 PM PST - Men's Basketball,
02/16/2024,4:00 PM PST - Softball,
02/16/2024,1:30 PM PST - Softball,
02/17/2024,7:00 PM PST - Men's Basketball,
02/17/2024,3:00 PM PST - Softball,
02/18/2024,TBA - Softball,
02/18/2024,9:00 AM PST - Softball,
02/19/2024,2:05 PM PST - Baseball,
02/21/2024,7:00 PM PST - Women's Basketball,
02/23/2024,7:00 PM PST - Men's Basketball,
02/23/2024,3:05 PM PST - Baseball,
02/24/2024,2:05 PM PST - Baseball,
02/25/2024,12:05 PM PST - Baseball,
02/27/2024,3:05 PM PST - Baseball,
02/28/2024,7:00 PM PST - Women's Basketball,
02/29/2024,9:00 AM PST - Women's Golf,
03/2/2024,2:00 PM PST - Women's Basketball,
03/2/2024,1:00 PM PST - Women's Water Polo,
03/3/2024,11:00 AM PST - Women's Water Polo,
03/4/2024,2:00 PM PST - Women's Tennis,
03/4/2024,All Day - Women's Golf,
03/5/2024,All Day - Women's Golf,
03/6/2024,6:30 PM PST - Men's Basketball,
03/8/2024,6:05 PM PST - Baseball,
03/8/2024,5:30 PM PST - Softball,
03/8/2024,3:00 PM PST - Softball,
03/8/2024,12:00 PM PST - Women's Tennis,
03/9/2024,3:00 PM PST - Softball,
03/9/2024,2:05 PM PST - Baseball,
03/9/2024,12:30 PM PST - Softball,
03/10/2024,2:00 PM PDT - Women's Gymnastics,
03/10/2024,12:05 PM PDT - Baseball,
03/10/2024,10:00 AM PDT - Softball,
03/12/2024,5:05 PM PDT - Baseball,
03/14/2024,6:30 PM PDT - Women's Soccer,
03/15/2024,6:05 PM PDT - Baseball,
03/15/2024,6:00 PM PDT - Softball,
03/16/2024,3:00 PM PDT - Women's Beach Volleyball,
03/16/2024,3:00 PM PDT - Softball,
03/16/2024,2:05 PM PDT - Baseball,
03/16/2024,12:00 PM PDT - Women's Beach Volleyball,
03/16/2024,12:00 PM PDT - Women's Beach Volleyball,
03/16/2024,9:00 AM PDT - Women's Beach Volleyball,
03/17/2024,3:00 PM PDT - Women's Beach Volleyball,
03/17/2024,1:00 PM PDT - Women's Tennis,
03/17/2024,12:05 PM PDT - Baseball,
03/17/2024,12:00 PM PDT - Softball,
03/17/2024,12:00 PM PDT - Women's Beach Volleyball,
03/17/2024,9:00 AM PDT - Women's Beach Volleyball,
03/20/2024,12:00 PM PDT - Women's Tennis,
03/22/2024,11:00 AM PDT - Women's Tennis,
03/23/2024,1:00 PM PDT - Women's Water Polo,
03/24/2024,1:00 PM PDT - Women's Tennis,
03/26/2024,5:05 PM PDT - Baseball,
03/26/2024,12:00 PM PDT - Women's Tennis,
03/27/2024,4:00 PM PDT - Women's Beach Volleyball,
03/27/2024,2:00 PM PDT - Women's Beach Volleyball,
03/29/2024,6:30 PM PDT - Women's Soccer,
04/3/2024,6:00 PM PDT - Softball,
04/3/2024,3:00 PM PDT - Softball,
04/7/2024,1:00 PM PDT - Women's Water Polo,
04/12/2024,6:30 PM PDT - Women's Soccer,
