startTime,temperature_F,shortForecast
2024-08-20T12:00:00,74,Clear
2024-08-21T12:00:00,72,Clear
2024-08-22T12:00:00,68,Clear
2024-08-23T12:00:00,68,Clear
2024-08-24T12:00:00,72,Clear
2024-08-25T12:00:00,72,Clear
2024-08-26T12:00:00,76,Clear
2024-08-27T12:00:00,79,Clear
2024-08-28T12:00:00,76,Clear
2024-08-29T12:00:00,71,Clear
2024-08-30T12:00:00,70,Clear
2024-08-31T12:00:00,71,Clear
2024-09-01T12:00:00,70,Clear
2024-09-02T12:00:00,69,Clear
2024-09-03T12:00:00,77,Clear
2024-09-04T12:00:00,77,Clear
2024-09-05T12:00:00,78,Clear
2024-09-06T12:00:00,78,Clear
2024-09-07T12:00:00,74,Clear
2024-09-08T12:00:00,75,Clear
2024-09-09T12:00:00,71,Clear
2024-09-10T12:00:00,68,Clear
2024-09-11T12:00:00,68,Clear
2024-09-12T12:00:00,72,Clear
2024-09-13T12:00:00,74,Clear
2024-09-14T12:00:00,70,Clear
2024-09-15T12:00:00,66,Clear
2024-09-16T12:00:00,67,Clear
2024-09-17T12:00:00,66,Clear
2024-09-18T12:00:00,70,Clear
2024-09-19T12:00:00,68,Clear
2024-09-20T12:00:00,70,Clear
2024-09-21T12:00:00,70,Clear
2024-09-22T12:00:00,70,Clear
2024-09-23T12:00:00,76,Clear
2024-09-24T12:00:00,78,Clear
2024-09-25T12:00:00,69,Clear
2024-09-26T12:00:00,72,Clear
2024-09-27T12:00:00,76,Clear
2024-09-28T12:00:00,71,Clear
2024-09-29T12:00:00,70,Clear
2024-09-30T12:00:00,76,Clear
2024-10-01T12:00:00,81,Clear
2024-10-02T12:00:00,86,Clear
2024-10-03T12:00:00,84,Clear
2024-10-04T12:00:00,82,Clear
2024-10-05T12:00:00,82,Clear
2024-10-06T12:00:00,84,Clear
2024-10-07T12:00:00,85,Clear
2024-10-08T12:00:00,75,Clear
2024-10-09T12:00:00,68,Clear
2024-10-10T12:00:00,69,Clear
2024-10-11T12:00:00,68,Clear
2024-10-12T12:00:00,68,Clear
2024-10-13T12:00:00,72,Clear
2024-10-14T12:00:00,68,Clear
2024-10-15T12:00:00,68,Clear
2024-10-16T12:00:00,68,Clear
2024-10-17T12:00:00,64,Partly Cloudy
2024-10-18T12:00:00,68,Clear
2024-10-19T12:00:00,69,Clear
2024-10-20T12:00:00,70,Clear
2024-10-21T12:00:00,65,Clear
2024-10-22T12:00:00,64,Partly Cloudy
2024-10-23T12:00:00,66,Clear
2024-10-24T12:00:00,67,Clear
2024-10-25T12:00:00,66,Clear
2024-10-26T12:00:00,66,Clear
2024-10-27T12:00:00,67,Clear
2024-10-28T12:00:00,62,Rain
2024-10-29T12:00:00,60,Partly Cloudy
2024-10-30T12:00:00,58,Partly Cloudy
2024-10-31T12:00:00,61,Partly Cloudy
2024-11-01T12:00:00,60,Partly Cloudy
2024-11-02T12:00:00,61,Partly Cloudy
2024-11-03T12:00:00,60,Partly Cloudy
2024-11-04T12:00:00,63,Partly Cloudy
2024-11-05T12:00:00,63,Partly Cloudy
2024-11-06T12:00:00,64,Partly Cloudy
2024-11-07T12:00:00,62,Partly Cloudy
2024-11-08T12:00:00,61,Partly Cloudy
2024-11-09T12:00:00,60,Partly Cloudy
2024-11-10T12:00:00,60,Partly Cloudy
2024-11-11T12:00:00,57,Rain
2024-11-12T12:00:00,58,Partly Cloudy
2024-11-13T12:00:00,57,Partly Cloudy
2024-11-14T12:00:00,58,Partly Cloudy
2024-11-15T12:00:00,54,Partly Cloudy
2024-11-16T12:00:00,52,Partly Cloudy
2024-11-17T12:00:00,54,Rain
2024-11-18T12:00:00,54,Partly Cloudy
2024-11-19T12:00:00,52,Partly Cloudy
2024-11-20T12:00:00,60,Partly Cloudy
2024-11-21T12:00:00,66,Clear
2024-11-22T12:00:00,62,Rain
2024-11-23T12:00:00,58,Rain
2024-11-24T12:00:00,56,Partly Cloudy
2024-11-25T12:00:00,58,Rain
2024-11-26T12:00:00,56,Partly Cloudy
2024-11-27T12:00:00,54,Partly Cloudy
2024-11-28T12:00:00,50,Partly Cloudy
2024-11-29T12:00:00,52,Partly Cloudy
2024-11-30T12:00:00,55,Partly Cloudy
2024-12-01T12:00:00,60,Partly Cloudy
2024-12-02T12:00:00,59,Partly Cloudy
2024-12-03T12:00:00,58,Partly Cloudy
2024-12-04T12:00:00,57,Partly Cloudy
2024-12-05T12:00:00,58,Partly Cloudy
2024-12-06T12:00:00,58,Partly Cloudy
2024-12-07T12:00:00,56,Partly Cloudy
2024-12-08T12:00:00,58,Partly Cloudy
2024-12-09T12:00:00,55,Partly Cloudy
2024-12-10T12:00:00,52,Partly Cloudy
2024-12-11T12:00:00,53,Partly Cloudy
2024-12-12T12:00:00,55,Rain
2024-12-13T12:00:00,58,Rain
2024-12-14T12:00:00,54,Rain
2024-12-15T12:00:00,50,Partly Cloudy
2024-12-16T12:00:00,52,Rain
2024-12-17T12:00:00,54,Partly Cloudy
2024-12-18T12:00:00,53,Partly Cloudy
2024-12-19T12:00:00,51,Partly Cloudy
2024-12-20T12:00:00,50,Partly Cloudy
2024-12-21T12:00:00,58,Partly Cloudy
2024-12-22T12:00:00,63,Rain
2024-12-23T12:00:00,66,Clear
2024-12-24T12:00:00,56,Rain
2024-12-25T12:00:00,50,Partly Cloudy
2024-12-26T12:00:00,58,Rain
2024-12-27T12:00:00,60,Rain
2024-12-28T12:00:00,62,Partly Cloudy
2024-12-29T12:00:00,57,Rain
2024-12-30T12:00:00,54,Partly Cloudy
2024-12-31T12:00:00,50,Partly Cloudy
2025-01-01T12:00:00,50,Partly Cloudy
2025-01-02T12:00:00,56,Partly Cloudy
2025-01-03T12:00:00,56,Rain
2025-01-04T12:00:00,52,Partly Cloudy
2025-01-05T12:00:00,54,Partly Cloudy
2025-01-06T12:00:00,53,Partly Cloudy
2025-01-07T12:00:00,60,Partly Cloudy
2025-01-08T12:00:00,58,Partly Cloudy
2025-01-09T12:00:00,58,Partly Cloudy
2025-01-10T12:00:00,59,Partly Cloudy
2025-01-11T12:00:00,58,Partly Cloudy
2025-01-12T12:00:00,57,Partly Cloudy
2025-01-13T12:00:00,54,Partly Cloudy
2025-01-14T12:00:00,52,Partly Cloudy
2025-01-15T12:00:00,52,Partly Cloudy
2025-01-16T12:00:00,52,Partly Cloudy
2025-01-17T12:00:00,51,Partly Cloudy
2025-01-18T12:00:00,55,Partly Cloudy
2025-01-19T12:00:00,48,Cold
2025-01-20T12:00:00,54,Partly Cloudy
2025-01-21T12:00:00,52,Partly Cloudy
2025-01-22T12:00:00,54,Partly Cloudy
2025-01-23T12:00:00,57,Partly Cloudy
2025-01-24T12:00:00,52,Partly Cloudy
2025-01-25T12:00:00,50,Partly Cloudy
2025-01-26T12:00:00,51,Partly Cloudy
2025-01-27T12:00:00,49,Cold
2025-01-28T12:00:00,48,Cold
2025-01-29T12:00:00,50,Partly Cloudy
2025-01-30T12:00:00,50,Partly Cloudy
2025-01-31T12:00:00,50,Rain
2025-02-01T12:00:00,57,Rain
