Time,Sport
2023-01-02T12:00:00,5
2023-01-03T18:00:00,2
2023-01-05T18:00:00,1
2023-01-07T14:00:00,1
2023-01-10T19:00:00,2
2023-01-11T18:00:00,1
2023-01-13T12:00:00,5
2023-01-14T16:30:00,9
2023-01-15T10:30:00,9
2023-01-16T17:30:00,1
2023-01-17T18:00:00,2
2023-01-19T16:30:00,3
2023-01-20T13:00:00,3
2023-01-21T15:00:00,2
2023-01-22T14:00:00,3
2023-01-24T19:00:00,2
2023-01-26T18:00:00,1
2023-01-27T14:00:00,0
2023-01-28T18:00:00,2
2023-02-01T08:00:00,5
2023-02-02T17:30:00,1
2023-02-03T08:00:00,5
2023-02-04T19:00:00,2
2023-02-05T15:00:00,9
2023-02-07T19:00:00,2
2023-02-08T08:00:00,13
2023-02-09T18:00:00,1
2023-02-10T19:30:00,4
2023-02-11T19:00:00,2
2023-02-12T08:00:00,8
2023-02-13T08:00:00,8
2023-02-14T19:00:00,2
2023-02-15T08:00:00,5
2023-02-16T18:30:00,1
2023-02-17T19:30:00,2
2023-02-18T18:00:00,7
2023-02-19T15:30:00,9
2023-02-20T08:00:00,8
2023-02-21T19:00:00,2
2023-02-22T08:00:00,0
2023-02-23T18:00:00,1
2023-02-24T19:30:00,4
2023-02-25T16:00:00,6
2023-02-26T10:05:00,7
2023-02-28T20:00:00,2
2023-03-03T19:30:00,6
2023-03-04T17:30:00,6
2023-03-05T16:30:00,1
2023-03-06T17:00:00,1
2023-03-07T08:00:00,5
2023-03-08T08:00:00,5
2023-03-09T08:00:00,5
2023-03-10T18:30:00,2
2023-03-11T17:00:00,6
2023-04-01T16:35:00,7
2023-04-02T08:00:00,8
2023-04-03T08:00:00,8
2023-04-04T08:00:00,8
2023-04-06T18:00:00,6
2023-04-07T08:00:00,0
2023-04-08T13:00:00,9
2023-04-09T08:00:00,13
2023-04-10T17:05:00,7
2023-04-11T08:00:00,13
2023-04-12T18:00:00,6
2023-04-13T08:00:00,5
2023-04-14T18:05:00,7
2023-04-15T08:00:00,5
2023-04-16T12:05:00,7
2023-04-17T08:00:00,8
2023-04-18T08:00:00,8
2023-04-19T08:00:00,8
2023-04-20T08:00:00,0
2023-04-21T18:05:00,7
2023-04-22T17:05:00,7
2023-04-23T13:05:00,7
2023-04-26T17:00:00,6
2023-04-27T08:00:00,13
2023-04-28T08:00:00,13
2023-04-29T08:00:00,13
2023-04-30T12:00:00,7
2023-05-02T15:00:00,7
2023-05-04T19:15:00,6
2023-05-05T18:00:00,7
2023-05-06T16:05:00,7
2023-05-07T08:00:00,8
2023-05-08T08:00:00,8
2023-05-09T08:00:00,8
2023-06-02T14:00:00,7
2023-06-03T12:00:00,7
2023-06-07T17:30:00,0
2023-06-08T17:30:00,0
2023-06-09T17:30:00,0
2023-06-10T17:30:00,0
2023-08-12T18:00:00,11
2023-08-17T19:30:00,11
2023-08-20T12:00:00,11
2023-08-24T19:00:00,14
2023-08-25T20:00:00,15
2023-08-26T19:00:00,14
2023-08-27T16:00:00,15
2023-08-31T19:30:00,11
2023-09-01T19:00:00,15
2023-09-02T10:00:00,15
2023-09-03T15:00:00,11
2023-09-04T19:00:00,14
2023-09-05T17:15:00,13
2023-09-06T17:15:00,13
2023-09-07T17:15:00,13
2023-09-08T17:00:00,14
2023-09-09T13:00:00,12
2023-09-10T13:00:00,10
2023-09-11T08:00:00,8
2023-09-12T19:00:00,15
2023-09-13T19:00:00,14
2023-09-14T19:00:00,11
2023-09-15T15:00:00,15
2023-09-16T16:00:00,12
2023-09-17T19:00:00,14
2023-09-18T08:00:00,13
2023-09-19T08:00:00,13
2023-09-21T19:00:00,11
2023-09-22T19:30:00,12
2023-09-23T13:30:00,10
2023-09-24T16:00:00,14
2023-09-25T08:00:00,8
2023-09-26T08:00:00,8
2023-09-28T19:00:00,14
2023-09-29T17:30:00,0
2023-09-30T16:30:00,10
2023-10-01T14:30:00,10
2023-10-05T19:00:00,11
2023-10-06T16:15:00,0
2023-10-07T17:00:00,12
2023-10-08T12:30:00,14
2023-10-09T08:00:00,13
2023-10-10T08:00:00,8
2023-10-12T19:00:00,14
2023-10-13T08:00:00,3
2023-10-14T15:00:00,12
2023-10-15T13:00:00,14
2023-10-16T08:00:00,3
2023-10-19T19:00:00,11
2023-10-20T16:40:00,10
2023-10-21T19:00:00,14
2023-10-22T12:00:00,11
