startTime,temperature_F,shortForecast
2025-04-23T16:00:00-07:00,67,Sunny
2025-04-23T17:00:00-07:00,66,Mostly Sunny
2025-04-23T18:00:00-07:00,65,Partly Cloudy
2025-04-23T19:00:00-07:00,61,Mostly Clear
2025-04-23T20:00:00-07:00,57,Mostly Clear
2025-04-23T21:00:00-07:00,55,Mostly Clear
2025-04-23T22:00:00-07:00,53,Partly Cloudy
2025-04-23T23:00:00-07:00,51,Partly Cloudy
2025-04-24T00:00:00-07:00,50,Partly Cloudy
2025-04-24T01:00:00-07:00,50,Mostly Cloudy
2025-04-24T02:00:00-07:00,49,Mostly Cloudy
2025-04-24T03:00:00-07:00,49,Mostly Cloudy
